company_id,name,sector,cagr,sfr,margin,investing_score
894,iRobot,E-commerce platforms,0.13343449718583322,0.5097455005724282,0.17351051083759939,0.496559421106777
898,Serve Robotics,Marketplaces & gig platforms,,-0.6584571428571429,-55.96634063850506,0.15416363351992407
906,Everbridge,Enterprise / ERP / HRM,,0.1454998175875124,0.032296271848607935,0.6584524781549943
926,Interface AI,AI assistants & copilots,0.0241903786769484,5.595548780487805,0.07779679595921575,0.6122256720782426
937,Zevia,E-commerce platforms,0.08954305835004583,,-0.10703923161224169,0.48277166735342153
939,Faraday Future,Smartphones & OS,,-1.1325915283560397,-502.3472866419295,0.12907453583411543
945,Mattel,Gaming & virtual environments,0.040567620426980255,1.4617269801638262,0.05256898879365086,0.4861088228600685
975,SS&C Technologies,Enterprise / ERP / HRM,0.0594997757787854,2.648558014755198,0.22424758659852356,0.5385366650151686
999,Netflix,Subscription content,0.5565182328420395,0.14672851580748333,0.011642100118502648,0.6390479089302057
1026,Nike,E-commerce platforms,0.08251487385466705,,0.12997637503172774,0.49381280776095426
1067,Recharge,Fintech & payments,,,,
1070,Xos Trucks,Productivity & collaboration,1.1455036926403528,-2.8975846670360834,-2.443781614251155,0.5897524558544571
1074,Macerich,Marketplaces & gig platforms,0.47375434213461554,,0.36757626845450464,0.7215616309026743
1102,Warp,Developer tooling,,-9.254416954536207,-0.4020430740342442,0.4299668785609639
1110,PVH Corp.,E-commerce platforms,-0.01791701843143023,,0.08603289938439802,0.4364185040637805
1112,a.k.a. Brands,E-commerce platforms,0.2772870999611692,,0.018200631182266967,0.5927653233441772
1124,Dine Brands Global,E-commerce platforms,0.42675641584350754,,0.17315969010240279,0.6838001113604433
1136,Dave Inc.,Fintech & payments,,,-0.008152566761856994,0.9175747951212431
1141,The Honest Company,E-commerce platforms,0.05925737704771117,-4.3717352148924755,-0.08676854036483933,0.32729657454499184
1143,Oscar Health,GovTech / RegTech / MedTech,,,-2.540475756859994,0.5470003980945743
1148,Rexford Industrial,Enterprise / ERP / HRM,0.09824182696350969,,298.1068376068376,0.5290309711112015
